slug,name,company,url
"mayank-potlapalli","Mayank Potlapalli","JSW Ventures","https://vcdekho.com/investors/mayank-potlapalli"
"pranay-shah","Pranay Shah","JSW Ventures","https://vcdekho.com/investors/pranay-shah"
"karthik-varada-ph-d","Karthik Varada, Ph.D.","Beyond Next Ventures Inc.","https://vcdekho.com/investors/karthik-varada-ph-d"
"ruchira-shukla","Ruchira Shukla","Synapses VC","https://vcdekho.com/investors/ruchira-shukla"
"prateek-sharma","Prateek Sharma","Ahead VC","https://vcdekho.com/investors/prateek-sharma"
"kevin-d-souza","Kevin D'Souza","BoldCap","https://vcdekho.com/investors/kevin-d-souza"
"gokul-kunnel-subash-bose","Gokul Kunnel Subash Bose","Upekkha","https://vcdekho.com/investors/gokul-kunnel-subash-bose"
"sai-shanmukha-yadavalli","Sai Shanmukha Yadavalli","The Chennai Angels","https://vcdekho.com/investors/sai-shanmukha-yadavalli"
"sathish-ganesan","Sathish Ganesan","IN44 Capital","https://vcdekho.com/investors/sathish-ganesan"
"sridhar-parthasarathy","Sridhar Parthasarathy","Bluehill.vc","https://vcdekho.com/investors/sridhar-parthasarathy"
"khushi-bothra","Khushi Bothra","Artha99 Venture Capital Fund","https://vcdekho.com/investors/khushi-bothra"
"anirudh-gopinath","Anirudh Gopinath","a99 VC","https://vcdekho.com/investors/anirudh-gopinath"
"prem-shanth","Prem Shanth","a99 VC","https://vcdekho.com/investors/prem-shanth"
"sudarshan-raghuraman","Sudarshan Raghuraman","TVS Capital Funds","https://vcdekho.com/investors/sudarshan-raghuraman"
"manasa-krishnan","Manasa Krishnan","TVS Capital Funds","https://vcdekho.com/investors/manasa-krishnan"
"manish-singhal","Manish Singhal","pi Ventures","https://vcdekho.com/investors/manish-singhal"
"komal-gupta","Komal Gupta","pi Ventures","https://vcdekho.com/investors/komal-gupta"
"ganapathy-gani-subramaniam","Ganapathy Gani Subramaniam","Yali Capital","https://vcdekho.com/investors/ganapathy-gani-subramaniam"
"sandipan-mondal","Sandipan Mondal","Yali Capital","https://vcdekho.com/investors/sandipan-mondal"
"sudhir-rao","Sudhir Rao","Celesta Capital","https://vcdekho.com/investors/sudhir-rao"
"riddhi-daftary","Riddhi Daftary","Celesta Capital","https://vcdekho.com/investors/riddhi-daftary"
